hour_of_day,day_of_week,party_size,tables_occupied,tables_total,queue_length,avg_party_size_ahead,occupancy_rate,is_peak_hour,is_weekend,wait_minutes
15,4,3,20,28,14,4.87,0.714,1,0,82.4
11,3,2,20,28,6,2.44,0.714,0,0,14.0
20,6,5,2,28,7,1.75,0.071,1,1,3.3
16,6,2,9,28,1,2.63,0.321,0,1,7.1
19,2,4,6,28,12,2.54,0.214,1,0,4.5
12,0,4,6,28,8,3.7,0.214,0,0,3.2
18,5,4,11,28,2,2.68,0.393,0,1,4.3
12,6,4,18,28,8,2.04,0.643,0,1,33.8
16,1,5,16,28,3,1.64,0.571,0,0,11.1
15,0,5,11,28,11,3.68,0.393,1,0,2.5
14,5,3,22,28,7,4.04,0.786,1,1,57.1
12,3,4,18,28,0,2.9,0.643,0,0,5.0
20,4,2,22,28,14,3.94,0.786,1,0,90.2
15,0,2,0,28,14,2.38,0.0,1,0,5.3
19,4,2,15,28,12,4.08,0.536,1,0,42.6
17,2,2,15,28,2,4.15,0.536,0,0,7.4
19,4,2,4,28,14,1.64,0.143,1,0,7.1
14,4,3,15,28,4,3.16,0.536,1,0,13.0
17,1,4,4,28,3,1.66,0.143,0,0,4.2
20,2,3,0,28,7,3.81,0.0,1,0,3.0
18,6,6,19,28,7,3.87,0.679,0,1,37.3
13,3,2,18,28,10,4.8,0.643,1,0,40.5
20,2,2,12,28,11,1.85,0.429,1,0,2.1
13,1,4,16,28,9,2.62,0.571,1,0,37.5
20,1,1,1,28,2,2.49,0.036,1,0,2.7
15,1,4,23,28,3,2.96,0.821,1,0,30.4
15,0,4,2,28,0,4.06,0.071,1,0,2.8
11,6,4,22,28,13,3.47,0.786,0,1,95.1
22,0,4,22,28,8,2.33,0.786,1,0,69.1
14,0,2,18,28,0,1.69,0.643,1,0,5.0
19,2,2,6,28,11,4.83,0.214,1,0,7.7
13,1,4,20,28,4,2.53,0.714,1,0,28.8
14,4,4,24,28,6,1.82,0.857,1,0,72.0
20,1,2,4,28,2,4.61,0.143,1,0,4.1
12,6,2,9,28,9,3.66,0.321,0,1,2.6
17,5,4,9,28,8,4.38,0.321,0,1,6.2
15,4,2,18,28,7,2.81,0.643,1,0,30.9
17,0,4,3,28,5,3.98,0.107,0,0,4.9
22,5,4,9,28,9,2.66,0.321,1,1,4.6
12,3,4,19,28,11,4.19,0.679,0,0,42.6
19,6,4,12,28,11,4.87,0.429,1,1,4.2
11,0,5,5,28,4,4.87,0.179,0,0,2.1
15,5,6,4,28,3,3.44,0.143,1,1,7.8
12,6,4,13,28,14,3.09,0.464,0,1,5.8
16,2,6,24,28,10,2.48,0.857,0,0,116.6
18,1,2,7,28,9,2.3,0.25,0,0,3.6
15,0,2,21,28,14,3.38,0.75,1,0,76.0
11,4,5,15,28,12,1.97,0.536,0,0,42.0
19,1,2,17,28,10,1.66,0.607,1,0,30.4
17,0,4,17,28,14,2.03,0.607,0,0,40.7
16,2,5,12,28,0,3.14,0.429,0,0,4.5
11,4,2,5,28,11,4.35,0.179,0,0,8.0
16,2,4,4,28,4,4.81,0.143,0,0,7.1
11,4,3,13,28,0,4.84,0.464,0,0,5.6
11,0,4,1,28,11,2.44,0.036,0,0,2.1
20,1,3,2,28,10,2.58,0.071,1,0,6.9
22,4,2,24,28,0,1.97,0.857,1,0,5.0
17,6,4,13,28,1,4.32,0.464,0,1,7.4
22,1,3,1,28,1,2.87,0.036,1,0,4.6
12,3,3,0,28,7,4.69,0.0,0,0,3.8
20,2,4,3,28,9,4.74,0.107,1,0,5.0
22,3,3,1,28,5,3.22,0.036,1,0,4.0
21,2,2,18,28,14,1.95,0.643,1,0,56.0
18,3,2,2,28,2,3.3,0.071,0,0,7.8
20,2,1,4,28,1,2.48,0.143,1,0,3.1
15,5,2,8,28,11,2.22,0.286,1,1,4.2
20,4,2,24,28,14,3.7,0.857,1,0,120.0
18,5,2,15,28,12,1.51,0.536,0,1,31.5
18,5,2,22,28,13,3.12,0.786,0,1,72.9
20,5,2,18,28,6,3.91,0.643,1,1,29.6
22,4,5,5,28,2,2.89,0.179,1,0,2.6
17,4,2,6,28,8,4.44,0.214,0,0,2.5
22,0,6,19,28,8,3.88,0.679,1,0,56.7
13,0,3,14,28,3,3.38,0.5,1,0,14.2
11,3,2,8,28,4,2.77,0.286,0,0,5.9
12,2,3,12,28,5,3.62,0.429,0,0,3.4
16,4,2,22,28,3,4.48,0.786,0,0,15.6
18,6,5,2,28,2,1.56,0.071,0,1,6.2
18,6,6,19,28,11,4.71,0.679,0,1,69.9
19,1,4,7,28,9,2.48,0.25,1,0,6.6
16,1,2,18,28,3,3.28,0.643,0,0,8.2
11,3,2,13,28,5,3.53,0.464,0,0,2.9
14,4,3,0,28,5,2.68,0.0,1,0,2.8
17,1,10,12,28,7,4.33,0.429,0,0,3.5
15,0,4,10,28,14,3.15,0.357,1,0,4.5
11,4,5,11,28,1,1.94,0.393,0,0,6.4
19,1,2,2,28,0,4.09,0.071,1,0,5.4
18,2,4,13,28,11,2.07,0.464,0,0,3.0
15,2,4,3,28,8,4.57,0.107,1,0,4.4
18,6,4,18,28,12,2.55,0.643,0,1,51.9
19,0,6,22,28,1,3.4,0.786,1,0,15.3
18,2,3,5,28,5,2.66,0.179,0,0,6.4
20,3,4,0,28,3,4.1,0.0,1,0,5.4
16,0,2,4,28,10,4.1,0.143,0,0,2.2
16,1,4,9,28,0,1.86,0.321,0,0,5.2
14,4,2,23,28,14,4.29,0.821,1,0,108.5
22,4,4,18,28,2,3.48,0.643,1,0,8.4
20,2,4,19,28,10,4.86,0.679,1,0,52.5
17,6,2,10,28,11,4.69,0.357,0,1,2.8
12,0,2,7,28,11,3.58,0.25,0,0,2.6
14,4,6,7,28,14,2.03,0.25,1,0,5.5
20,0,3,13,28,7,4.44,0.464,1,0,7.5
11,5,2,13,28,3,1.94,0.464,0,1,7.5
16,6,2,14,28,4,2.83,0.5,0,1,7.6
15,0,2,24,28,4,3.61,0.857,1,0,38.6
20,2,6,6,28,1,3.18,0.214,1,0,7.5
21,2,3,18,28,5,2.12,0.643,1,0,19.6
17,3,3,23,28,0,2.77,0.821,0,0,5.5
22,1,4,6,28,0,4.86,0.214,1,0,2.9
16,5,2,7,28,0,2.55,0.25,0,1,3.9
17,2,2,18,28,13,2.22,0.643,0,0,39.8
11,4,3,15,28,7,3.56,0.536,0,0,20.4
12,1,3,16,28,1,3.24,0.571,0,0,5.0
13,6,2,7,28,12,1.76,0.25,1,1,6.5
20,1,6,1,28,11,4.3,0.036,1,0,7.9
12,6,4,0,28,8,2.28,0.0,0,1,3.4
21,6,1,21,28,8,4.3,0.75,1,1,47.6
18,1,5,23,28,13,3.61,0.821,0,0,100.8
21,3,6,21,28,4,2.92,0.75,1,0,33.4
20,6,4,20,28,2,1.93,0.714,1,1,14.3
13,3,4,17,28,1,4.69,0.607,1,0,5.0
12,2,4,11,28,3,3.68,0.393,0,0,4.5
19,1,5,2,28,3,4.91,0.071,1,0,6.7
11,1,4,13,28,6,4.3,0.464,0,0,4.6
13,0,2,7,28,1,3.72,0.25,1,0,3.5
16,5,5,3,28,9,3.34,0.107,0,1,3.0
17,4,1,17,28,4,4.35,0.607,0,0,12.1
19,5,2,4,28,8,3.24,0.143,1,1,6.3
15,1,2,24,28,14,4.56,0.857,1,0,120.0
19,4,2,12,28,0,2.97,0.429,1,0,4.3
20,5,1,21,28,10,2.15,0.75,1,1,62.3
15,3,4,20,28,10,2.51,0.714,1,0,67.0
17,2,6,22,28,14,4.84,0.786,0,0,100.0
16,4,3,3,28,14,2.42,0.107,0,0,5.6
21,0,3,12,28,10,2.67,0.429,1,0,6.6
15,0,2,16,28,0,3.23,0.571,1,0,5.0
17,2,5,4,28,11,3.93,0.143,0,0,3.6
12,3,3,11,28,10,4.71,0.393,0,0,2.8
20,0,3,14,28,11,3.4,0.5,1,0,40.6
18,2,4,20,28,0,3.81,0.714,0,0,5.0
19,1,3,14,28,10,4.96,0.5,1,0,33.4
20,6,1,15,28,6,5.0,0.536,1,1,14.9
17,5,2,6,28,8,2.17,0.214,0,1,2.7
21,6,4,19,28,6,3.09,0.679,1,1,48.1
21,1,4,13,28,14,2.78,0.464,1,0,5.4
12,2,4,7,28,9,4.04,0.25,0,0,2.4
18,0,3,21,28,8,4.08,0.75,0,0,28.6
22,5,3,2,28,9,4.97,0.071,1,1,2.0
12,2,2,13,28,3,1.68,0.464,0,0,2.5
15,3,4,23,28,11,4.94,0.821,1,0,113.1
20,5,3,6,28,3,4.08,0.214,1,1,3.4
13,4,3,17,28,3,4.0,0.607,1,0,7.4
15,5,1,14,28,0,2.87,0.5,1,1,5.0
14,3,8,4,28,12,2.41,0.143,1,0,5.5
17,6,6,10,28,13,3.65,0.357,0,1,3.0
14,3,2,19,28,12,3.77,0.679,1,0,53.1
20,2,2,8,28,0,4.85,0.286,1,0,7.0
15,4,4,22,28,0,3.31,0.786,1,0,7.4
14,1,3,9,28,2,4.15,0.321,1,0,6.2
18,2,5,5,28,12,2.28,0.179,0,0,5.2
19,3,4,1,28,10,4.57,0.036,1,0,3.6
22,4,6,24,28,1,4.52,0.857,1,0,17.0
15,2,2,23,28,11,2.8,0.821,1,0,89.5
18,2,4,17,28,5,4.87,0.607,0,0,16.5
13,1,4,7,28,1,3.4,0.25,1,0,7.2
11,5,3,15,28,7,2.36,0.536,0,1,23.8
21,2,2,12,28,10,2.34,0.429,1,0,7.6
14,6,4,6,28,4,4.58,0.214,1,1,7.2
13,6,5,9,28,10,2.3,0.321,1,1,7.5
12,3,4,12,28,12,2.41,0.429,0,0,3.2
21,0,4,7,28,14,2.82,0.25,1,0,2.1
13,5,2,6,28,9,3.01,0.214,1,1,7.0
22,3,2,4,28,12,4.26,0.143,1,0,3.0
14,1,6,16,28,11,1.74,0.571,1,0,51.0
20,2,5,13,28,14,4.89,0.464,1,0,6.5
13,3,4,6,28,12,1.58,0.214,1,0,3.9
13,2,4,1,28,13,3.14,0.036,1,0,7.7
13,4,5,14,28,6,4.39,0.5,1,0,26.9
21,3,5,14,28,13,2.31,0.5,1,0,53.3
15,2,8,18,28,8,3.05,0.643,1,0,59.0
21,0,2,5,28,14,4.11,0.179,1,0,3.2
11,0,4,17,28,14,3.15,0.607,0,0,42.2
19,0,2,7,28,14,3.09,0.25,1,0,5.2
17,2,4,11,28,4,4.69,0.393,0,0,7.8
14,5,3,13,28,6,1.94,0.464,1,1,6.1
14,0,2,24,28,11,1.72,0.857,1,0,108.3
16,4,2,23,28,7,2.59,0.821,0,0,38.4
12,5,3,13,28,14,3.6,0.464,0,1,3.7
19,0,8,8,28,7,4.03,0.286,1,0,6.5
19,0,2,13,28,14,3.25,0.464,1,0,5.7
14,0,4,17,28,11,1.75,0.607,1,0,50.3
11,0,6,0,28,12,1.78,0.0,0,0,4.4
12,5,4,13,28,9,4.3,0.464,0,1,3.2
17,3,2,10,28,12,3.97,0.357,0,0,2.2
16,0,2,8,28,1,4.77,0.286,0,0,7.7
22,5,4,14,28,10,3.2,0.5,1,1,45.2
16,1,4,2,28,14,3.34,0.071,0,0,6.4
21,1,2,22,28,11,2.06,0.786,1,0,77.8
13,1,2,13,28,3,4.1,0.464,1,0,7.2
15,6,1,11,28,1,1.57,0.393,1,1,5.9
15,0,3,9,28,2,3.88,0.321,1,0,2.4
11,6,3,20,28,14,2.96,0.714,0,1,68.4
22,3,4,23,28,1,4.53,0.821,1,0,13.2
19,3,1,1,28,3,4.56,0.036,1,0,7.4
16,6,2,18,28,9,4.69,0.643,0,1,31.8
18,4,4,2,28,9,4.01,0.071,0,0,7.5
17,1,2,13,28,1,2.13,0.464,0,0,7.1
19,5,2,14,28,13,3.3,0.5,1,1,39.9
19,3,4,5,28,0,2.87,0.179,1,0,7.8
12,2,4,0,28,7,3.6,0.0,0,0,4.4
17,6,2,9,28,2,3.05,0.321,0,1,4.0
20,3,5,0,28,4,2.37,0.0,1,0,5.7
11,0,2,19,28,11,1.63,0.679,0,0,36.8
15,0,5,11,28,7,3.55,0.393,1,0,7.2
22,2,2,17,28,13,1.7,0.607,1,0,50.0
15,3,2,0,28,6,2.29,0.0,1,0,3.1
21,4,2,18,28,13,3.91,0.643,1,0,49.5
21,2,1,24,28,1,4.91,0.857,1,0,5.0
17,6,2,10,28,1,2.7,0.357,0,1,5.2
17,5,2,15,28,1,2.21,0.536,0,1,5.0
16,4,8,14,28,1,3.82,0.5,0,0,5.0
17,1,3,17,28,1,3.66,0.607,0,0,5.0
22,2,6,13,28,3,3.87,0.464,1,0,3.3
15,4,4,1,28,1,3.62,0.036,1,0,3.9
11,0,10,12,28,8,1.82,0.429,0,0,3.7
21,3,4,5,28,13,4.74,0.179,1,0,4.6
12,1,5,22,28,2,4.54,0.786,0,0,16.5
11,5,3,24,28,4,2.64,0.857,0,1,34.6
15,2,3,24,28,0,2.33,0.857,1,0,5.0
11,2,2,10,28,2,2.09,0.357,0,0,5.9
12,5,3,20,28,9,4.83,0.714,0,1,43.5
22,3,4,15,28,6,4.35,0.536,1,0,19.7
12,3,8,12,28,4,2.19,0.429,0,0,2.0
15,3,8,3,28,10,2.83,0.107,1,0,3.2
16,2,2,3,28,4,2.5,0.107,0,0,3.8
22,2,4,9,28,3,4.01,0.321,1,0,4.4
14,1,2,10,28,6,3.88,0.357,1,0,3.1
17,6,2,9,28,12,2.4,0.321,0,1,7.8
14,5,5,0,28,11,1.65,0.0,1,1,5.8
21,4,4,21,28,4,4.59,0.75,1,0,26.7
20,1,3,9,28,7,4.19,0.321,1,0,5.3
21,4,2,23,28,2,4.48,0.821,1,0,13.7
17,1,5,18,28,3,2.02,0.643,0,0,8.6
11,2,5,0,28,6,3.37,0.0,0,0,3.1
15,6,2,6,28,10,2.31,0.214,1,1,4.3
19,5,2,2,28,6,3.93,0.071,1,1,4.4
16,4,4,16,28,10,4.97,0.571,0,0,29.2
22,5,2,5,28,9,4.67,0.179,1,1,6.6
14,4,6,2,28,8,2.63,0.071,1,0,3.4
19,6,2,16,28,11,1.74,0.571,1,1,41.3
15,5,4,2,28,5,2.31,0.071,1,1,4.7
16,5,2,11,28,1,2.77,0.393,0,1,8.0
17,5,2,21,28,11,1.81,0.75,0,1,54.9
15,4,4,14,28,8,2.1,0.5,1,0,24.1
17,3,2,11,28,7,4.28,0.393,0,0,7.6
17,3,8,21,28,4,4.08,0.75,0,0,24.2
18,3,2,20,28,3,3.68,0.714,0,0,11.1
11,4,5,5,28,3,3.98,0.179,0,0,2.2
11,6,2,1,28,8,1.81,0.036,0,1,7.6
19,0,2,19,28,13,3.07,0.679,1,0,55.7
14,1,3,2,28,5,3.24,0.071,1,0,8.0
15,3,2,14,28,0,1.91,0.5,1,0,5.0
18,1,5,5,28,2,4.27,0.179,0,0,3.8
19,6,3,1,28,10,3.93,0.036,1,1,4.1
14,1,4,24,28,1,1.96,0.857,1,0,16.1
16,0,6,13,28,0,3.62,0.464,0,0,6.6
14,2,8,5,28,8,3.83,0.179,1,0,2.7
15,1,3,14,28,3,1.78,0.5,1,0,8.4
22,4,6,19,28,1,2.47,0.679,1,0,7.7
16,4,1,1,28,11,2.78,0.036,0,0,4.3
15,2,2,24,28,1,3.2,0.857,1,0,11.7
19,6,2,2,28,4,1.92,0.071,1,1,3.8
13,6,4,0,28,3,3.72,0.0,1,1,3.4
15,6,2,19,28,3,3.34,0.679,1,1,19.8
17,1,2,19,28,14,3.07,0.679,0,0,42.0
22,5,5,4,28,12,4.19,0.143,1,1,2.1
12,5,3,21,28,5,2.41,0.75,0,1,23.9
20,6,2,6,28,4,2.25,0.214,1,1,2.1
12,4,8,17,28,4,4.86,0.607,0,0,15.9
22,2,3,19,28,6,2.02,0.679,1,0,29.8
14,1,2,17,28,7,4.34,0.607,1,0,28.0
20,4,8,16,28,8,1.86,0.571,1,0,49.5
18,0,6,1,28,11,1.77,0.036,0,0,3.7
12,1,2,7,28,4,4.39,0.25,0,0,5.0
18,2,3,16,28,14,4.61,0.571,0,0,40.4
15,3,3,4,28,7,1.65,0.143,1,0,2.5
21,0,2,23,28,2,1.54,0.821,1,0,15.3
15,3,4,13,28,3,2.72,0.464,1,0,6.6
17,2,2,10,28,9,1.84,0.357,0,0,6.0
18,1,1,15,28,11,4.65,0.536,0,0,18.3
19,1,4,2,28,0,2.39,0.071,1,0,3.6
19,0,8,22,28,13,4.64,0.786,1,0,120.0
20,4,2,7,28,1,3.61,0.25,1,0,5.5
22,1,2,14,28,0,4.75,0.5,1,0,5.0
21,5,3,24,28,1,4.8,0.857,1,1,9.6
14,4,4,18,28,13,1.54,0.643,1,0,67.8
22,0,3,20,28,12,2.27,0.714,1,0,66.1
18,5,4,6,28,6,3.8,0.214,0,1,3.1
16,5,10,21,28,11,1.65,0.75,0,1,112.9
14,2,8,14,28,2,2.03,0.5,1,0,10.1
22,4,3,4,28,12,4.1,0.143,1,0,5.7
16,2,2,6,28,11,3.73,0.214,0,0,6.6
18,1,4,7,28,0,4.1,0.25,0,0,7.3
14,2,3,9,28,1,2.21,0.321,1,0,5.3
17,2,2,8,28,12,3.39,0.286,0,0,5.1
20,1,5,11,28,0,1.54,0.393,1,0,6.5
15,0,4,15,28,2,4.45,0.536,1,0,8.4
20,3,3,3,28,3,4.23,0.107,1,0,3.3
20,4,4,21,28,7,2.12,0.75,1,0,40.3
20,5,2,24,28,12,1.83,0.857,1,1,120.0
13,4,4,22,28,3,3.46,0.786,1,0,32.9
18,1,4,18,28,14,1.58,0.643,0,0,53.7
13,5,4,11,28,13,4.94,0.393,1,1,3.3
14,2,3,3,28,13,2.65,0.107,1,0,4.6
12,6,2,14,28,10,4.07,0.5,0,1,19.7
16,4,2,5,28,3,3.24,0.179,0,0,3.1
16,6,5,10,28,6,3.5,0.357,0,1,5.5
19,3,3,17,28,2,1.59,0.607,1,0,8.6
13,4,2,2,28,13,2.29,0.071,1,0,4.3
15,3,5,9,28,4,3.97,0.321,1,0,5.8
17,6,3,0,28,7,4.05,0.0,0,1,6.6
16,5,4,24,28,14,4.73,0.857,0,1,120.0
19,3,1,23,28,11,1.66,0.821,1,0,76.6
20,5,3,24,28,12,2.44,0.857,1,1,120.0
19,4,5,10,28,3,3.67,0.357,1,0,5.4
15,3,2,6,28,5,4.65,0.214,1,0,2.1
18,2,8,14,28,6,2.88,0.5,0,0,23.7
19,4,10,17,28,4,3.79,0.607,1,0,32.2
20,4,4,18,28,2,4.9,0.643,1,0,5.2
19,0,2,3,28,14,2.38,0.107,1,0,7.1
17,0,3,1,28,11,4.03,0.036,0,0,2.4
16,0,3,5,28,13,3.1,0.179,0,0,4.9
15,4,6,15,28,8,3.84,0.536,1,0,41.4
12,2,4,21,28,11,1.72,0.75,0,0,60.8
20,2,2,16,28,6,4.55,0.571,1,0,19.8
20,6,4,19,28,5,1.56,0.679,1,1,34.7
14,3,2,8,28,7,4.95,0.286,1,0,6.6
12,0,2,2,28,7,2.49,0.071,0,0,4.3
13,5,3,22,28,8,2.89,0.786,1,1,69.2
21,2,3,10,28,7,2.15,0.357,1,0,2.6
22,3,4,4,28,4,2.59,0.143,1,0,5.9
18,1,2,19,28,5,4.28,0.679,0,0,18.1
13,2,2,7,28,5,1.99,0.25,1,0,3.2
18,4,4,15,28,10,2.6,0.536,0,0,26.4
16,5,2,8,28,11,4.09,0.286,0,1,3.9
11,6,3,20,28,4,4.04,0.714,0,1,20.4
13,0,1,19,28,1,2.23,0.679,1,0,5.0
15,2,2,8,28,3,4.71,0.286,1,0,2.7
22,3,10,1,28,14,3.78,0.036,1,0,3.9
18,1,5,11,28,11,3.34,0.393,0,0,3.5
22,1,2,20,28,2,2.0,0.714,1,0,7.8
20,2,4,15,28,5,4.08,0.536,1,0,13.3
22,2,5,2,28,0,1.94,0.071,1,0,6.1
12,2,4,14,28,6,2.08,0.5,0,0,18.0
16,6,2,2,28,8,2.56,0.071,0,1,5.9
14,3,2,8,28,2,1.71,0.286,1,0,7.4
13,0,5,22,28,10,1.89,0.786,1,0,92.2
18,5,3,3,28,4,3.41,0.107,0,1,4.3
21,3,1,7,28,7,1.6,0.25,1,0,7.8
16,0,2,18,28,2,4.14,0.643,0,0,8.3
22,2,5,13,28,7,3.96,0.464,1,0,5.2
18,0,2,0,28,7,2.49,0.0,0,0,6.9
15,2,2,13,28,13,3.6,0.464,1,0,2.4
22,1,4,13,28,5,4.62,0.464,1,0,3.1
17,4,5,15,28,13,3.0,0.536,0,0,38.4
21,5,5,20,28,4,2.38,0.714,1,1,33.4
15,4,3,8,28,3,4.54,0.286,1,0,2.4
11,4,4,7,28,11,4.69,0.25,0,0,4.8
19,2,6,21,28,7,4.82,0.75,1,0,57.0
16,3,4,18,28,3,3.87,0.643,0,0,9.7
22,4,8,11,28,1,2.45,0.393,1,0,4.8
19,0,2,5,28,5,4.62,0.179,1,0,2.0
22,5,1,7,28,2,2.47,0.25,1,1,7.8
11,2,2,2,28,12,3.16,0.071,0,0,5.5
16,0,1,7,28,10,4.45,0.25,0,0,3.7
17,4,3,9,28,10,1.66,0.321,0,0,3.7
18,4,2,16,28,7,3.36,0.571,0,0,14.8
21,6,4,6,28,12,3.86,0.214,1,1,2.3
21,4,6,12,28,0,2.86,0.429,1,0,6.4
18,4,4,11,28,12,2.58,0.393,0,0,6.9
17,3,5,7,28,8,3.73,0.25,0,0,2.3
17,0,4,17,28,1,1.9,0.607,0,0,5.0
12,4,2,7,28,3,4.65,0.25,0,0,4.4
13,6,4,1,28,14,3.76,0.036,1,1,5.9
13,2,4,13,28,1,1.99,0.464,1,0,2.7
17,3,2,5,28,10,4.09,0.179,0,0,5.2
13,5,2,16,28,8,2.98,0.571,1,1,24.7
13,2,3,12,28,14,1.65,0.429,1,0,2.7
11,6,2,22,28,7,3.78,0.786,0,1,40.6
12,3,4,22,28,8,2.57,0.786,0,0,50.5
20,5,3,1,28,2,3.08,0.036,1,1,5.5
19,6,2,10,28,9,2.8,0.357,1,1,2.2
22,0,3,1,28,7,2.08,0.036,1,0,5.9
15,0,2,19,28,2,1.59,0.679,1,0,12.6
21,6,2,10,28,0,1.85,0.357,1,1,7.1
18,1,5,23,28,11,3.46,0.821,0,0,92.2
14,0,2,4,28,13,1.6,0.143,1,0,5.0
21,4,3,13,28,5,4.74,0.464,1,0,4.5
13,1,2,14,28,4,2.51,0.5,1,0,10.9
17,5,4,8,28,0,1.81,0.286,0,1,5.6
14,0,3,15,28,5,3.39,0.536,1,0,17.9
15,0,4,1,28,12,4.17,0.036,1,0,7.0
13,2,2,12,28,2,2.12,0.429,1,0,5.0
22,4,8,6,28,3,2.72,0.214,1,0,5.5
18,4,3,14,28,1,3.21,0.5,0,0,5.0
19,1,3,6,28,4,2.02,0.214,1,0,7.1
15,3,6,20,28,1,4.03,0.714,1,0,10.4
22,5,2,10,28,6,1.94,0.357,1,1,6.8
14,0,5,11,28,5,2.02,0.393,1,0,4.8
22,3,4,5,28,14,2.56,0.179,1,0,4.9
21,0,4,22,28,14,3.62,0.786,1,0,116.9
11,2,6,17,28,11,4.4,0.607,0,0,46.0
14,6,8,15,28,14,1.88,0.536,1,1,93.5
11,0,6,18,28,14,4.59,0.643,0,0,65.0
21,4,3,13,28,12,4.74,0.464,1,0,2.1
16,4,1,2,28,5,3.35,0.071,0,0,5.8
15,3,5,23,28,2,2.24,0.821,1,0,20.8
17,2,4,24,28,4,4.09,0.857,0,0,38.6
15,4,4,4,28,11,3.8,0.143,1,0,6.6
14,2,4,7,28,6,3.21,0.25,1,0,2.5
14,5,1,10,28,2,3.42,0.357,1,1,5.8
12,4,8,5,28,1,1.77,0.179,0,0,5.0
20,3,4,1,28,1,3.99,0.036,1,0,6.0
22,1,2,7,28,6,4.75,0.25,1,0,4.4
21,5,2,20,28,6,2.29,0.714,1,1,35.5
15,2,3,24,28,8,1.93,0.857,1,0,89.7
11,6,3,9,28,9,4.38,0.321,0,1,5.3
14,1,2,13,28,3,2.56,0.464,1,0,3.7
14,4,6,7,28,1,2.91,0.25,1,0,3.0
12,1,5,10,28,8,4.12,0.357,0,0,3.9
11,1,4,17,28,5,3.97,0.607,0,0,13.8
21,0,3,18,28,8,4.45,0.643,1,0,39.2
22,3,4,14,28,2,3.02,0.5,1,0,6.5
22,2,2,22,28,9,3.48,0.786,1,0,61.1
22,2,5,22,28,9,1.99,0.786,1,0,85.7
15,0,2,10,28,0,3.87,0.357,1,0,7.7
19,4,3,18,28,11,5.0,0.643,1,0,48.2
11,4,3,6,28,11,4.53,0.214,0,0,4.9
12,5,4,8,28,11,4.51,0.286,0,1,3.1
15,4,3,1,28,8,3.8,0.036,1,0,4.8
18,5,2,12,28,6,3.63,0.429,0,1,3.8
18,6,2,2,28,11,4.91,0.071,0,1,2.3
22,5,2,3,28,4,2.51,0.107,1,1,4.2
19,0,2,9,28,4,2.44,0.321,1,0,7.0
15,5,2,21,28,0,1.94,0.75,1,1,5.0
16,0,6,19,28,7,4.04,0.679,0,0,26.3
19,3,1,5,28,0,2.59,0.179,1,0,6.6
11,3,8,21,28,4,1.77,0.75,0,0,25.1
15,5,3,20,28,8,4.21,0.714,1,1,49.7
20,6,2,11,28,10,3.82,0.393,1,1,5.3
14,6,4,10,28,7,4.24,0.357,1,1,6.7
